titulo,ano,diretor,generos[0],generos[1],generos[2],avaliacao,pais_origem,categorias[0],categorias[1],categorias[2],elenco[0].ator,elenco[1].ator,elenco[0].idade,elenco[1].idade,bilheteria.domestica,bilheteria.internacional
A Lista de Schindler,1993,Steven Spielberg,Biografia,Drama,História,8.9,Estados Unidos,Melhor Filme,Melhor Diretor,,Liam Neeson,Ben Kingsley,41,49,96000000,225000000
Os Imperdoáveis,1992,Clint Eastwood,Drama,Faroeste,,8.2,Estados Unidos,Melhor Filme,Melhor Diretor,,Clint Eastwood,Morgan Freeman,62,55,101000000,158000000
O Silêncio dos Inocentes,1991,Jonathan Demme,Crime,Drama,Suspense,8.6,Estados Unidos,Melhor Filme,Melhor Diretor,Melhor Ator,Jodie Foster,Anthony Hopkins,29,53,130000000,142000000
Dança com Lobos,1990,Kevin Costner,Aventura,Drama,Ocidental,8,Estados Unidos,Melhor Filme,Melhor Diretor,,Kevin Costner,Mary McDonnell,35,37,184000000,240000000
Conduzindo Miss Daisy,1989,Bruce Beresford,Comédia,Drama,,7.4,Estados Unidos,Melhor Filme,Melhor Atriz,,Jessica Tandy,Morgan Freeman,80,52,106000000,73900000
Rain Man,1988,Barry Levinson,Drama,,,8,Estados Unidos,Melhor Filme,Melhor Diretor,Melhor Ator,Dustin Hoffman,Tom Cruise,51,26,178000000,354000000
O Último Imperador,1987,Bernardo Bertolucci,Biografia,Drama,História,7.7,Itália,Melhor Filme,Melhor Diretor,,John Lone,Joan Chen,35,26,43800000,43000000
Platoon,1986,Oliver Stone,Drama,Guerra,,8.1,Estados Unidos,Melhor Filme,Melhor Diretor,,Charlie Sheen,Tom Berenger,21,37,138000000,71400000
Entre Dois Amores,1985,Sydney Pollack,Biografia,Drama,Romance,7.2,Estados Unidos,Melhor Filme,Melhor Diretor,,Meryl Streep,Robert Redford,36,48,87600000,135000000
Amadeus,1984,Milos Forman,Biografia,Drama,Música,8.3,Estados Unidos,Melhor Filme,Melhor Diretor,,F. Murray Abraham,Tom Hulce,45,31,52000000,90000000
Laços de Ternura,1983,James L. Brooks,Comédia,Drama,,7.4,Estados Unidos,Melhor Filme,Melhor Diretor,,Shirley MacLaine,Debra Winger,49,28,108000000,34900000
Gandhi,1982,Richard Attenborough,Biografia,Drama,História,8,Reino Unido,Melhor Filme,Melhor Diretor,,Ben Kingsley,Candice Bergen,38,36,52600000,127000000
Carruagens de Fogo,1981,Hugh Hudson,Biografia,Drama,Esporte,7.2,Reino Unido,Melhor Filme,Melhor Roteiro Original,,Ben Cross,Ian Charleson,33,31,58800000,14000000
Gente como a Gente,1980,Robert Redford,Drama,,,7.7,Estados Unidos,Melhor Filme,Melhor Diretor,,Donald Sutherland,Mary Tyler Moore,45,43,54600000,34000000
Kramer vs. Kramer,1979,Robert Benton,Drama,,,7.8,Estados Unidos,Melhor Filme,Melhor Diretor,Melhor Ator,Dustin Hoffman,Meryl Streep,42,30,106000000,67600000
O Franco Atirador,1978,Michael Cimino,Drama,Guerra,,8.1,Estados Unidos,Melhor Filme,Melhor Diretor,,Robert De Niro,Christopher Walken,35,35,49000000,30000000
"Noivo Neurótico, Noiva Nervosa",1977,Woody Allen,Comédia,Romance,,8,Estados Unidos,Melhor Filme,Melhor Diretor,Melhor Atriz,Woody Allen,Diane Keaton,42,31,38200000,19400000
Rocky: Um Lutador,1976,John G. Avildsen,Drama,Esporte,,8.1,Estados Unidos,Melhor Filme,Melhor Diretor,,Sylvester Stallone,Talia Shire,30,30,117000000,107000000
Um Estranho no Ninho,1975,Milos Forman,Drama,,,8.7,Estados Unidos,Melhor Filme,Melhor Diretor,Melhor Ator,Jack Nicholson,Louise Fletcher,38,41,108000000,112000000
O Poderoso Chefão: Parte II,1974,Francis Ford Coppola,Crime,Drama,,9,Estados Unidos,Melhor Filme,Melhor Diretor,,Al Pacino,Robert Duvall,34,43,57000000,47000000
Golpe de Mestre,1973,George Roy Hill,Comédia,Crime,Drama,8.3,Estados Unidos,Melhor Filme,Melhor Diretor,,Paul Newman,Robert Redford,48,37,156000000,30000000
O Poderoso Chefão,1972,Francis Ford Coppola,Crime,Drama,,9.2,Estados Unidos,Melhor Filme,Melhor Diretor,Melhor Ator,Marlon Brando,Al Pacino,48,32,135000000,133000000
Operação França,1971,William Friedkin,Ação,Crime,Drama,7.7,Estados Unidos,Melhor Filme,Melhor Diretor,,Gene Hackman,Roy Scheider,41,39,51000000,30000000
Patton: Rebelde ou Herói?,1970,Franklin J. Schaffner,Biografia,Drama,Guerra,8,Estados Unidos,Melhor Filme,Melhor Diretor,Melhor Ator,George C. Scott,Karl Malden,43,57,61800000,42000000
Perdidos na Noite,1969,John Schlesinger,Drama,,,7.9,Estados Unidos,Melhor Filme,Melhor Diretor,,Dustin Hoffman,Jon Voight,31,30,44900000,17400000
